openTime,open,high,low,close,volume,closeTime,quoteVolume,numTrades
1651523160000,4.89000000,4.89000000,4.88000000,4.88000000,2933.61000000,1651523219999,14318.28880000,18
1651523220000,4.88000000,4.89000000,4.88000000,4.89000000,924.76000000,1651523279999,4513.46750000,22
1651523280000,4.88000000,4.88000000,4.88000000,4.88000000,940.72000000,1651523339999,4590.71360000,15
1651523340000,4.88000000,4.88000000,4.88000000,4.88000000,259.65000000,1651523399999,1267.09200000,8
1651523400000,4.88000000,4.89000000,4.88000000,4.89000000,699.19000000,1651523459999,3412.44700000,15
1651523460000,4.89000000,4.89000000,4.88000000,4.88000000,308.85000000,1651523519999,1510.18150000,6
1651523520000,4.88000000,4.88000000,4.88000000,4.88000000,0.00000000,1651523579999,0.00000000,0
1651523580000,4.89000000,4.89000000,4.88000000,4.88000000,114.87000000,1651523639999,561.64760000,5
1651523640000,4.88000000,4.89000000,4.88000000,4.88000000,43.82000000,1651523699999,214.09450000,3
1651523700000,4.88000000,4.89000000,4.88000000,4.89000000,825.57000000,1651523759999,4030.15220000,14
1651523760000,4.89000000,4.90000000,4.88000000,4.90000000,644.92000000,1651523819999,3152.70090000,20
1651523820000,4.90000000,4.90000000,4.88000000,4.89000000,559.06000000,1651523879999,2731.86480000,22
1651523880000,4.89000000,4.89000000,4.89000000,4.89000000,116.31000000,1651523939999,568.75590000,5
1651523940000,4.89000000,4.89000000,4.89000000,4.89000000,0.00000000,1651523999999,0.00000000,0
1651524000000,4.89000000,4.89000000,4.89000000,4.89000000,245.18000000,1651524059999,1198.93020000,10
1651524060000,4.89000000,4.89000000,4.88000000,4.88000000,8.66000000,1651524119999,42.29080000,2
1651524120000,4.89000000,4.89000000,4.88000000,4.88000000,645.97000000,1651524179999,3152.38240000,7
1651524180000,4.88000000,4.88000000,4.87000000,4.88000000,1749.12000000,1651524239999,8534.68160000,29
1651524240000,4.87000000,4.87000000,4.87000000,4.87000000,114.70000000,1651524299999,558.58900000,1
1651524300000,4.87000000,4.87000000,4.86000000,4.86000000,874.06000000,1651524359999,4255.51720000,18
1651524360000,4.86000000,4.87000000,4.84000000,4.84000000,5118.25000000,1651524419999,24832.21780000,84
1651524420000,4.83000000,4.85000000,4.82000000,4.85000000,4121.83000000,1651524479999,19924.29770000,100
1651524480000,4.85000000,4.85000000,4.83000000,4.83000000,3057.05000000,1651524539999,14770.46330000,53
1651524540000,4.84000000,4.84000000,4.83000000,4.84000000,28.41000000,1651524599999,137.40510000,4
1651524600000,4.84000000,4.84000000,4.83000000,4.84000000,114.53000000,1651524659999,553.54190000,7
1651524660000,4.83000000,4.84000000,4.83000000,4.84000000,137.83000000,1651524719999,665.76640000,4
1651524720000,4.84000000,4.84000000,4.84000000,4.84000000,10.33000000,1651524779999,49.99720000,1
